Rk,Year,Region,Round,PTS,OPTS,OT?,Diff,Seed,School,OpponentSeed,Opponent,
154,2002,East,First Round,76,68,,8,11,Southern Illinois,6 ,Texas Tech,
155,2002,South,First Round,69,61,,8,10,Kent State,7 ,Oklahoma State,
156,2002,West,First Round,93,80,,13,12,Missouri,5 ,Miami (FL),
157,2002,West,First Round,73,66,,7,11,Wyoming,6 ,Gonzaga,
158,2002,East,First Round,71,69,,2,12,Tulsa,5 ,Marquette,
159,2002,South,First Round,93,89,OT,4,13,UNC Wilmington,4 ,USC,
160,2001,South,First Round,79,65,,14,11,Temple,6 ,Texas,
161,2001,Midwest,First Round,79,63,,16,10,Butler,7 ,Wake Forest,
162,2001,Midwest,First Round,70,63,,7,9 ,Charlotte,8 ,Tennessee,
163,2001,South,First Round,82,70,,12,9 ,Fresno State,8 ,California,
164,2001,South,First Round,86,85,,1,12,Gonzaga,5 ,Virginia,
165,2001,South,First Round,70,68,OT,2,13,Indiana State,4 ,Oklahoma,
166,2001,West,First Round,63,61,,2,10,Georgetown,7 ,Arkansas,
167,2001,West,First Round,50,49,,1,11,Georgia State,6 ,Wisconsin,
168,2001,West,First Round,58,57,,1,15,Hampton,2 ,Iowa State,
169,2001,East,First Round,77,68,OT,9,12,Utah State,5 ,Ohio State,
170,2001,West,First Round,77,73,,4,13,Kent State,4 ,Indiana,
171,2001,West,First Round,66,62,,4,9 ,St. Joseph's,8 ,Georgia Tech,
172,2001,East,First Round,70,68,,2,9 ,Missouri,8 ,Georgia,
173,2000,East,First Round,72,71,OT,1,10,Seton Hall,7 ,Oregon,
174,2000,East,First Round,77,57,,20,11,Pepperdine,6 ,Indiana,
175,2000,West,First Round,77,66,,11,10,Gonzaga,7 ,Louisville,
176,1999,East,First Round,62,53,,9,9 ,Tulsa,8 ,College of Charleston,
177,1999,Midwest,First Round,59,58,,1,10,Miami (OH),7 ,Washington,
178,1999,Midwest,First Round,72,70,,2,9 ,Ole Miss,8 ,Villanova,
179,1999,East,First Round,43,32,,11,12,Missouri State,5 ,Wisconsin,
180,1999,Midwest,First Round,61,60,,1,13,Oklahoma,4 ,Arizona,
181,1999,East,First Round,58,54,,4,10,Purdue,7 ,Texas,
182,1999,South,First Round,62,58,,4,10,Creighton,7 ,Louisville,
183,1999,West,First Round,76,74,,2,14,Weber State,3 ,UNC,
184,1999,South,First Round,56,53,,3,12,Detroit,5 ,UCLA,
