Year,Round,PTS,OPTS,Diff,Seed,School,OpponentSeed,Opponent
1996,First Round,75,63,12,12,Drexel,5,Memphis
1996,First Round,75,60,15,9 ,Eastern Michigan,8,Duke
1996,First Round,43,41,2,13,Princeton,4,UCLA
1996,First Round,66,58,8,9 ,Stanford,8,Bradley
1996,First Round,61,48,13,9 ,Virginia Tech,8,Green Bay
1995,First Round,89,81,8,14,Old Dominion,3,Villanova
1995,First Round,70,68,2,10,Stanford,7,Charlotte
1995,First Round,79,72,7,14,Weber State,3,Michigan State
1995,First Round,77,67,10,13,Manhattan,4,Oklahoma
1995,First Round,71,62,9,12,Miami (OH),5,Arizona
1995,First Round,64,61,3,9 ,Saint Louis,8,Minnesota
1995,First Round,90,73,17,11,Texas,6,Oregon
1995,First Round,76,70,6,9 ,Tulane,8,BYU
1994,First Round,67,64,3,9 ,Boston College,8,Washington State
1994,First Round,84,77,7,9 ,Georgetown,8,Illinois
1994,First Round,112,102,10,12,Tulsa,5,UCLA
1994,First Round,76,70,6,9 ,Alabama,8,Providence
1994,First Round,51,46,5,10,George Washington,7,Alabama-Birmingham
1994,First Round,61,57,4,12,Green Bay,5,California
1994,First Round,74,66,8,10,Maryland,7,Saint Louis
1994,First Round,90,80,10,11,Penn,6,Nebraska
1994,First Round,80,72,8,9 ,Wisconsin,8,Cincinnati
1993,First Round,82,68,14,12,George Washington,5,New Mexico
1993,First Round,93,78,15,13,Southern,4,Georgia Tech
1993,First Round,81,70,11,9 ,UCLA,8,Iowa State
1993,First Round,73,55,18,9 ,Xavier,8,New Orleans
1993,First Round,64,61,3,15,Santa Clara,2,Arizona
1993,First Round,55,53,2,11,Tulane,6,Kansas State
1992,First Round,87,80,7,14,ETSU,3,Arizona
1992,First Round,76,74,2,10,Iowa State,7,Charlotte
1992,First Round,87,83,4,13,Louisiana,4,Oklahoma
1992,First Round,81,73,8,12,New Mexico State,5,DePaul
1992,First Round,55,50,5,9 ,UTEP,8,Evansville
1992,First Round,61,57,4,10,Tulane,7,St. John's (NY)
1992,First Round,86,65,21,9 ,UConn,8,Nebraska
1992,First Round,98,92,6,9 ,Iowa,8,Texas
1991,First Round,76,56,20,12,Eastern Michigan,5,Mississippi State
1991,First Round,74,69,5,13,Penn State,4,UCLA
1991,First Round,50,48,2,9 ,Villanova,8,Princeton
1991,First Round,61,48,13,10,BYU,7,Virginia
